gap_id,filled,east,tier,gbm_prob,area_m2,height_m,imperv_frac,dist_road,neigh_completeness,fill_ratio
170,True,False,2,0.9937,129.8,3.2,0.9915,17.2144,0.0,0.6197
171,True,False,2,0.9922,129.0,2.5,0.9944,17.7675,0.0,0.7104
172,True,False,2,0.9935,174.5,2.9,0.9068,17.8903,0.0,0.5486
173,False,True,2,0.0281,42.5,13.0,0.9231,32.4786,0.9697,0.5936
174,True,False,2,0.9934,117.8,3.1,0.8872,16.5114,0.0,0.6141
175,True,False,1,0.9459,78.8,3.5,0.6544,19.0317,0.0,0.7509
176,False,True,1,0.1755,62.0,2.5,0.7865,48.4069,0.8182,0.3561
177,True,False,2,0.9938,141.0,3.3,0.9818,20.3627,0.0,0.7619
178,True,False,2,0.9935,103.5,3.1,0.9371,19.6506,0.0,0.7196
179,True,False,2,0.993,110.2,2.5,0.9532,18.9639,0.0333,0.6991
180,True,False,2,0.9934,126.0,3.6,0.8818,17.839,0.0556,0.6109
181,True,False,2,0.9934,131.0,2.9,0.9072,17.2759,0.0,0.6075
182,True,False,2,0.9934,167.5,3.1,0.9626,18.4324,0.0,0.6671
183,True,False,1,0.7613,70.0,2.9,0.9844,41.1029,0.027,0.806
184,True,False,2,0.9933,269.5,3.4,0.8219,18.055,0.0556,0.3999
185,True,True,3,0.9789,164.2,4.9,0.8693,16.2904,0.2069,0.7041
186,False,False,1,0.7129,57.8,3.5,0.7051,18.5934,0.0,0.47
187,True,True,2,0.9934,171.2,3.1,0.9447,18.542,0.0938,0.6763
188,True,False,2,0.991,111.8,3.4,0.9615,20.3491,0.0,0.8375
189,True,False,2,0.9951,165.0,3.2,0.5809,17.1887,0.0,0.6264
190,False,False,1,0.0193,26.5,10.9,0.029,2.4946,0.0286,0.5939
191,True,True,2,0.9912,187.2,3.3,0.9981,14.0096,0.0,0.6417
192,True,False,2,0.9937,149.0,3.0,0.9879,18.3202,0.0,0.7069
193,True,False,2,0.9919,159.8,3.7,0.8943,13.8632,0.0,0.5188
194,True,False,2,0.9934,94.0,3.2,0.9453,21.9512,0.0278,0.621
195,True,False,2,0.9934,145.2,3.1,0.9553,17.9017,0.0,0.5959
196,False,False,2,0.0056,21.0,10.2,0.7193,4.0074,0.0,0.3403
197,True,False,2,0.9862,84.2,3.7,0.9782,18.4443,0.0,0.7123
198,True,False,2,0.9807,105.0,3.6,0.9858,34.233,0.0286,0.5777
199,True,False,2,0.9934,218.0,2.5,0.9803,18.7485,0.0,0.6217
200,True,False,2,0.9928,154.5,2.9,0.8735,15.0566,0.0,0.6285
201,True,False,2,0.9934,246.5,2.9,0.9653,17.0117,0.0286,0.6057
202,True,True,2,0.9673,169.5,2.4,1.0,17.7898,0.3929,0.7403
203,True,False,2,0.9928,155.2,3.3,0.9977,18.0499,0.0,0.7401
204,True,False,2,0.9926,274.8,3.2,0.8738,16.8425,0.0,0.488
205,True,False,2,0.9944,194.5,3.3,0.7963,14.1436,0.0,0.5516
206,True,False,2,0.992,136.5,3.3,0.9974,23.4716,0.0286,0.7292
207,True,False,1,0.7077,44.0,2.7,0.8387,19.174,0.0,0.4626
208,True,False,2,0.9905,164.8,3.0,1.0,17.4362,0.0,0.74
209,True,True,2,0.9937,114.0,3.5,0.9808,19.0332,0.0667,0.6627
210,True,True,2,0.9784,106.5,3.4,0.9729,15.5372,0.2069,0.8362
211,True,True,2,0.9824,160.0,3.1,0.9732,16.3794,0.1935,0.638
212,True,False,2,0.9937,103.0,3.2,0.9892,18.9544,0.0,0.6847
213,True,False,2,0.9935,121.0,3.9,0.9514,18.1413,0.0,0.7355
214,True,False,2,0.9928,127.5,3.2,0.9972,17.6571,0.0,0.7793
215,True,False,2,0.9912,202.0,3.2,0.9964,13.3727,0.0,0.6804
216,True,False,2,0.9932,170.0,3.6,0.9097,17.689,0.0,0.5243
217,True,False,2,0.9935,140.2,3.2,0.9509,22.055,0.0278,0.7299
218,True,False,2,0.9934,98.2,3.5,0.959,18.4581,0.0278,0.7127
219,True,True,2,0.3959,150.0,2.9,0.9828,18.6849,0.5667,0.7012
220,True,False,2,0.9924,132.0,3.0,0.8197,18.2612,0.0,0.6512
221,True,False,2,0.9927,151.5,3.1,0.9951,18.2352,0.0312,0.6852
222,True,False,2,0.9935,94.2,3.2,0.9732,17.6883,0.0,0.7764
223,True,False,2,0.9924,144.0,3.5,0.8481,15.7358,0.0,0.6852
224,True,False,2,0.9934,175.8,2.9,0.9485,15.8915,0.0,0.671
225,True,False,2,0.9938,153.0,2.9,0.9861,18.3479,0.0,0.7699
226,True,True,2,0.9806,119.5,2.8,0.9727,15.7461,0.3929,0.5246
227,True,True,2,0.9811,161.0,2.8,0.9748,17.013,0.2222,0.6917
228,True,False,1,0.9158,55.8,3.4,0.8366,17.6562,0.0,0.4619
229,False,True,2,0.0146,20.8,14.7,0.7344,15.7961,0.2222,0.4824
230,True,False,2,0.991,119.8,3.4,1.0,22.0486,0.0312,0.7475
231,True,False,1,0.9277,54.5,3.9,0.9412,17.3554,0.0278,0.6846
232,True,False,2,0.9264,80.8,3.4,0.9565,18.7839,0.0,0.6907
233,True,False,2,0.9937,97.0,3.3,0.9925,17.3654,0.0,0.6364
234,True,True,2,0.9904,131.0,2.6,0.9972,16.2223,0.1538,0.6823
235,True,True,2,0.9012,92.8,2.8,0.9784,14.2046,0.1923,0.3848
236,True,False,1,0.9204,49.2,3.4,0.8235,22.0801,0.0278,0.3762
237,True,False,2,0.9928,121.5,3.0,0.8716,16.9661,0.0,0.6256
238,True,False,2,0.9935,158.0,3.0,0.9037,17.0925,0.0,0.7332
239,True,False,2,0.991,90.0,3.3,0.9721,19.7647,0.0,0.8394
240,True,False,2,0.993,167.8,2.6,0.9743,17.2179,0.0,0.6881
241,False,False,2,0.7437,103.2,2.4,0.9791,17.238,0.0,0.6046
242,True,False,1,0.9952,175.5,2.7,0.1701,16.6678,0.0,0.7028
243,True,True,2,0.9873,144.5,3.4,0.9291,14.3559,0.0,0.5758
244,True,False,2,0.9934,115.2,3.6,0.9655,17.7976,0.0,0.7039
245,True,False,2,0.9932,174.0,3.3,0.9754,16.4128,0.0,0.4928
246,True,False,2,0.9935,150.8,3.3,0.9706,17.6919,0.0312,0.7469
247,True,False,2,0.9938,139.0,3.7,0.987,17.5597,0.0,0.7376
248,True,True,2,0.416,145.5,2.8,0.9904,17.9253,0.5667,0.689
249,False,True,1,0.0132,25.5,2.2,0.8551,8.6502,0.9355,0.4536
250,True,False,2,0.9923,119.8,3.4,0.976,18.4144,0.0,0.8256
251,True,False,2,0.9723,215.0,3.1,0.9325,11.1558,0.0,0.4624
252,True,False,2,0.9935,168.8,3.0,0.966,18.1517,0.0,0.5728
253,True,False,2,0.991,170.5,3.1,1.0,19.4779,0.0,0.5637
254,True,False,2,0.9901,132.0,3.4,0.978,23.6229,0.0333,0.8347
255,False,True,2,0.7923,57.5,5.4,0.9065,20.2045,0.3929,0.5391
256,True,True,2,0.9834,120.8,3.7,0.9909,17.2634,0.2,0.7027
257,True,False,2,0.9936,143.8,2.8,0.9257,17.1232,0.0,0.7794
258,True,False,1,0.9948,153.5,2.6,0.1504,17.8251,0.0,0.695
259,False,False,1,0.2176,65.0,2.8,0.9563,31.7805,0.0,0.7952
